sample-id	mmm.m	mmm.sd	plot	tag	species	treatment	nutrient	time	time.trt	time.trt.sp	combo	indiv	seq_depth	bleaching	per_bleach
July2016.poc128	27.05674516	0.02117185	2	128	POC	U	nutrient	T3	T3_U	T3_U_POC	POC_U_T9	POC_128	4602	0	0
Jan2016.acr129	28.70592	0.037590634	9	129	ACR	C	control	T0	T0_C	T0_C_ACR	ACR_N_T0	ACR_129	242	0	0
March2016.acr129	29.26056129	0.094100803	9	129	ACR	N	nutrient	T1	T1_N	T1_N_ACR	ACR_N_T3	ACR_129	5260	0	0
May2016.129acr	28.5366871	0.031250527	9	129	ACR	N	nutrient	T2	T2_N	T2_N_ACR	ACR_N_T6	ACR_129	2021	0	0
July2016.acr129	27.05674516	0.02117185	9	129	ACR	N	nutrient	T3	T3_N	T3_N_ACR	ACR_N_T9	ACR_129	1590	0	0
Jan2016.acr134	28.70592	0.037590634	16	134	ACR	C	control	T0	T0_C	T0_C_ACR	ACR_N_T0	ACR_134	139	0	0
May2016.134acr	28.5366871	0.031250527	16	134	ACR	N	nutrient	T2	T2_N	T2_N_ACR	ACR_N_T6	ACR_134	95	0	0
July2016.acr134	27.05674516	0.02117185	16	134	ACR	N	nutrient	T3	T3_N	T3_N_ACR	ACR_N_T9	ACR_134	424	0	0
Jan2016.acr135	28.70592	0.037590634	16	135	ACR	C	control	T0	T0_C	T0_C_ACR	ACR_U_T0	ACR_135	940	0	0
March2016.poc135	29.26056129	0.094100803	16	135	POC	U	nutrient	T1	T1_U	T1_U_POC	POC_U_T3	POC_135	32	0	0
May2016.135acr	28.5366871	0.031250527	16	135	ACR	U	nutrient	T2	T2_U	T2_U_ACR	ACR_U_T6	ACR_135	4263	NA	NA
May2016.135poc	28.5366871	0.031250527	16	135	POC	U	nutrient	T2	T2_U	T2_U_POC	POC_U_T6	POC_135	36	0	0
July2016.acr135	27.05674516	0.02117185	16	135	ACR	U	nutrient	T3	T3_U	T3_U_ACR	ACR_U_T9	ACR_135	938	0	0
Jan2016.poc148	28.70592	0.037590634	X	148	POC	C	control	T0	T0_C	T0_C_POC	POC_C_T0	POC_148	1166	0	0
March2016.poc148	29.26056129	0.094100803	X	148	POC	C	control	T1	T1_C	T1_C_POC	POC_C_T3	POC_148	3663	0	0
May2016.148poc	28.5366871	0.031250527	X	148	POC	C	control	T2	T2_C	T2_C_POC	POC_C_T6	POC_148	723	0	0
July2016.poc148	27.05674516	0.02117185	X	148	POC	C	control	T3	T3_C	T3_C_POC	POC_C_T9	POC_148	1178	0	0
Jan2017.poc148	29.10646774	0.064776697	X	148	POC	C	control	T6	T6_C	T6_C_POC	POC_C_T12	POC_148	393	0	0
Jan2016.por154	28.70592	0.037590634	U	154	POC	C	control	T0	T0_C	T0_C_POC	POC_C_T0	POC_154	1925	0	0
Jan2016.poc154	28.70592	0.037590634	U	154	POR	C	control	T0	T0_C	T0_C_POR	POR_C_T0	POR_154	463	0	0
March2016.poc154	29.26056129	0.094100803	U	154	POC	C	control	T1	T1_C	T1_C_POC	POC_C_T3	POC_154	2359	0	0
March2016.por154	29.26056129	0.094100803	U	154	POR	C	control	T1	T1_C	T1_C_POR	POR_C_T3	POR_154	228	0	0
May2016.154poc	28.5366871	0.031250527	U	154	POC	C	control	T2	T2_C	T2_C_POC	POC_C_T6	POC_154	82	0	0
May2016.154por	28.5366871	0.031250527	U	154	POR	C	control	T2	T2_C	T2_C_POR	POR_C_T6	POR_154	1128	0	0
July2016.poc154	27.05674516	0.02117185	U	154	POC	C	control	T3	T3_C	T3_C_POC	POC_C_T9	POC_154	4277	0	0
July2016.por154	27.05674516	0.02117185	U	154	POR	C	control	T3	T3_C	T3_C_POR	POR_C_T9	POR_154	336	0	0
Jan2017.poc154	29.10646774	0.064776697	U	154	POC	C	control	T6	T6_C	T6_C_POC	POC_C_T12	POC_154	590	0	0
Jan2017.por154	29.10646774	0.064776697	U	154	POR	C	control	T6	T6_C	T6_C_POR	POR_C_T12	POR_154	430	0	0
Jan2016.acr161	28.70592	0.037590634	15	161	ACR	C	control	T0	T0_C	T0_C_ACR	ACR_N_T0	ACR_161	535	0	0
March2016.acr161	29.26056129	0.094100803	15	161	ACR	N	nutrient	T1	T1_N	T1_N_ACR	ACR_N_T3	ACR_161	973	0	0
May2016.161acr	28.5366871	0.031250527	15	161	ACR	N	nutrient	T2	T2_N	T2_N_ACR	ACR_N_T6	ACR_161	1450	0	0
July2016.acr161	27.05674516	0.02117185	15	161	ACR	N	nutrient	T3	T3_N	T3_N_ACR	ACR_N_T9	ACR_161	881	0	0
Jan2017.acr161	29.10646774	0.064776697	15	161	ACR	N	nutrient	T6	T6_N	T6_N_ACR	ACR_N_T12	ACR_161	6782	0	0
Jan2016.poc162	28.70592	0.037590634	15	162	POC	C	control	T0	T0_C	T0_C_POC	POC_U_T0	POC_162	514	0	0
March2016.poc162	29.26056129	0.094100803	15	162	POC	U	nutrient	T1	T1_U	T1_U_POC	POC_U_T3	POC_162	3508	0	0
May2016.162poc	28.5366871	0.031250527	15	162	POC	U	nutrient	T2	T2_U	T2_U_POC	POC_U_T6	POC_162	164	1	22
July2016.poc162	27.05674516	0.02117185	15	162	POC	U	nutrient	T3	T3_U	T3_U_POC	POC_U_T9	POC_162	722	1	20
Jan2017.poc162	29.10646774	0.064776697	15	162	POC	U	nutrient	T6	T6_U	T6_U_POC	POC_U_T12	POC_162	253	0	0
March2016.por202	29.26056129	0.094100803	Y	202	POR	U	nutrient	T1	T1_U	T1_U_POR	POR_U_T3	POR_202	1039	0	0
May2016.202por	28.5366871	0.031250527	Y	202	POR	U	nutrient	T2	T2_U	T2_U_POR	POR_U_T6	POR_202	2127	0	0
July2016.por202	27.05674516	0.02117185	Y	202	POR	U	nutrient	T3	T3_U	T3_U_POR	POR_U_T9	POR_202	2486	0	0
Jan2017.por202	29.10646774	0.064776697	Y	202	POR	U	nutrient	T6	T6_U	T6_U_POR	POR_U_T12	POR_202	3130	0	0
Jan2016.poc211	28.70592	0.037590634	Q	211	POC	C	control	T0	T0_C	T0_C_POC	POC_U_T0	POC_211	169	0	0
March2016.poc211	29.26056129	0.094100803	Q	211	POC	U	nutrient	T1	T1_U	T1_U_POC	POC_U_T3	POC_211	12	0	0
March2016.por211	29.26056129	0.094100803	Q	211	POR	U	nutrient	T1	T1_U	T1_U_POR	POR_U_T3	POR_211	3148	0	0
May2016.poc211	28.5366871	0.031250527	Q	211	POC	U	nutrient	T2	T2_U	T2_U_POC	POC_U_T6	POC_211	1908	0	0
May2016.211por	28.5366871	0.031250527	Q	211	POR	U	nutrient	T2	T2_U	T2_U_POR	POR_U_T6	POR_211	2588	0	0
July2016.poc211	27.05674516	0.02117185	Q	211	POC	U	nutrient	T3	T3_U	T3_U_POC	POC_U_T9	POC_211	2418	0	0
July2016.por211	27.05674516	0.02117185	Q	211	POR	U	nutrient	T3	T3_U	T3_U_POR	POR_U_T9	POR_211	409	0	0
Jan2017.poc211	29.10646774	0.064776697	Q	211	POC	U	nutrient	T6	T6_U	T6_U_POC	POC_U_T12	POC_211	11175	0	0
Jan2017.por211	29.10646774	0.064776697	Q	211	POR	U	nutrient	T6	T6_U	T6_U_POR	POR_U_T12	POR_211	553	0	0
March2016.por215	29.26056129	0.094100803	O	215	POR	N	nutrient	T1	T1_N	T1_N_POR	POR_N_T3	POR_215	624	0	0
May2016.215poc	28.5366871	0.031250527	O	215	POC	N	nutrient	T2	T2_N	T2_N_POC	POC_N_T2	POC_215	134	0	0
May2016.215por	28.5366871	0.031250527	O	215	POR	N	nutrient	T2	T2_N	T2_N_POR	POR_N_T6	POR_215	494	0	0
July2016.por215	27.05674516	0.02117185	O	215	POR	N	nutrient	T3	T3_N	T3_N_POR	POR_N_T9	POR_215	72	0	0
Jan2017.por215	29.10646774	0.064776697	O	215	POR	N	nutrient	T6	T6_N	T6_N_POR	POR_N_T12	POR_215	8133	0	0
Jan2016.poc220	28.70592	0.037590634	P	220	POC	C	control	T0	T0_C	T0_C_POC	POC_N_T0	POC_220	487	0	0
March2016.poc220	29.26056129	0.094100803	P	220	POC	N	nutrient	T1	T1_N	T1_N_POC	POC_N_T3	POC_220	994	0	0
March2016.por220	29.26056129	0.094100803	P	220	POR	N	nutrient	T1	T1_N	T1_N_POR	POR_N_T3	POR_220	277	0	0
May2016.220poc	28.5366871	0.031250527	P	220	POC	N	nutrient	T2	T2_N	T2_N_POC	POC_N_T6	POC_220	459	NA	NA
May2016.220por	28.5366871	0.031250527	P	220	POR	N	nutrient	T2	T2_N	T2_N_POR	POR_N_T6	POR_220	851	0	0
July2016.220.1	27.05674516	0.02117185	P	220	NA	N	nutrient	T3	T3_N	T3_N_NA	NA_N_T9	NA_220	778	0	0
July2016.220.2	27.05674516	0.02117185	P	220	NA	N	nutrient	T3	T3_N	T3_N_NA	NA_N_T9	NA_220	1032	0	0
Jan2017.poc220	29.10646774	0.064776697	P	220	POC	N	nutrient	T6	T6_N	T6_N_POC	POC_N_T12	POC_220	336	0	0
Jan2017.por220	29.10646774	0.064776697	P	220	POR	N	nutrient	T6	T6_N	T6_N_POR	POR_N_T12	POR_220	166	0	0
March2016.por228	29.26056129	0.094100803	K	228	POR	U	nutrient	T1	T1_U	T1_U_POR	POR_U_T3	POR_228	438	0	0
May2016.228por	28.5366871	0.031250527	K	228	POR	U	nutrient	T2	T2_U	T2_U_POR	POR_U_T6	POR_228	520	0	0
July2016.228.1	27.05674516	0.02117185	K	228	NA	U	nutrient	T3	T3_U	T3_U_NA	NA_U_T9	NA_228	246	0	0
July2016.228.2	27.05674516	0.02117185	NA	228	NA	U	nutrient	T3	T3_U	T3_U_NA	NA	NA_	5886	NA	NA
Jan2017.por228	29.10646774	0.064776697	K	228	POR	U	nutrient	T6	T6_U	T6_U_POR	POR_U_T12	POR_228	487	0	0
Jan2016.poc231	28.70592	0.037590634	D	231	POC	C	control	T0	T0_C	T0_C_POC	POC_N_T0	POC_231	513	0	0
March2016.poc231	29.26056129	0.094100803	D	231	POC	N	nutrient	T1	T1_N	T1_N_POC	POC_N_T3	POC_231	2603	0	0
March2016.por231	29.26056129	0.094100803	D	231	POR	N	nutrient	T1	T1_N	T1_N_POR	POR_N_T3	POR_231	1001	0	0
May2016.231poc	28.5366871	0.031250527	D	231	POR	N	nutrient	T2	T2_N	T2_N_POR	POR_N_T6	POR_231	314	0	0
July2016.poc231	27.05674516	0.02117185	D	231	POC	N	nutrient	T3	T3_N	T3_N_POC	POC_N_T9	POC_231	1337	0	0
